115,125,5,3229,1826,1,[3229]
175,175,5,15875,4863,1,[15875]
355,365,5,18726,7058,1,[18726]
355,365,5,21208,7333,1,[18726; 21208]
355,365,5,20446,5960,1,[18726; 21208; 20446]
365,365,5,24124,7014,1,[24124]
455,455,5,52120,19544,1,[52120]
445,445,5,51353,15706,1,[51353]
455,455,5,42765,11289,1,[52120; 42765]
455,455,5,49293,12431,1,[52120; 42765; 49293]
455,455,5,51863,10525,1,[52120; 42765; 49293; 51863]
455,455,5,56242,17079,1,[52120; 42765; 49293; 51863; 56242]
505,505,5,67802,17074,1,[67802]
505,495,5,107786,28311,-1,[107786]
505,505,5,68582,16113,1,[67802; 68582]
515,515,5,105429,24230,-1,[105429]
545,545,5,56293,16760,1,[56293]
525,525,5,127378,36233,-1,[127378]
545,545,5,87825,23813,-1,[56293; 87825]
555,555,5,105229,27498,-1,[105229]
575,575,5,82154,24414,-1,[82154]
555,565,5,77303,23600,-1,[77303]
565,555,5,177095,54836,-1,[177095]
545,545,5,149545,38340,-1,[56293; 87825; 149545]
565,565,5,87159,31202,-1,[87159]
555,555,5,72103,21238,-1,[105229; 72103]
495,495,5,65333,20725,1,[65333]
365,435,5,158590,34823,-1,[158590]
105,245,5,11867,4336,1,[11867]
45,195,5,3291,1892,1,[3291]
55,215,5,5486,2748,1,[5486]
95,385,5,8207,4195,1,[8207]
95,385,5,10409,4153,1,[8207; 10409]
95,385,5,7452,3442,1,[8207; 10409; 7452]
135,525,5,17442,6458,1,[17442]
145,575,5,23037,7945,1,[23037]
145,575,5,22389,5807,1,[23037; 22389]
145,575,5,19741,6996,1,[23037; 22389; 19741]
165,645,5,28331,10044,1,[28331]
195,765,5,51563,16251,1,[51563]
195,765,5,54891,14540,1,[51563; 54891]
195,755,5,58401,15408,1,[58401]
225,895,5,89854,25666,-1,[89854]
215,865,5,122004,54466,-1,[122004]
215,885,5,115584,28620,-1,[115584]
215,875,5,64637,21424,1,[64637]
235,915,5,112533,36742,-1,[112533]
235,935,5,139206,49634,-1,[139206]
235,935,5,67774,22644,-1,[139206; 67774]
245,955,5,97008,26423,-1,[97008]
245,995,5,111236,36332,-1,[111236]
245,985,5,146952,73317,-1,[146952]
235,955,5,91442,37680,-1,[91442]
245,985,5,93199,22287,-1,[146952; 93199]
